,Unnamed: 0,restaurant,category,food,price
0,0.0,غذای بیرون بر سرو,چلو کباب,چلو کباب کوبیده معمولی ," ۱۰۰,۰۰۰ تومان"
1,1.0,غذای بیرون بر سرو,چلو کباب,چلو کباب میکس ," ۱۱۰,۰۰۰ تومان"
2,2.0,غذای بیرون بر سرو,چلو کباب,چلو جوجه کباب سینه ," ۱۲۰,۰۰۰ تومان"
3,3.0,غذای بیرون بر سرو,چلو کباب,چلو کباب کوبیده مرغ ," ۱۱۰,۰۰۰ تومان"
4,4.0,غذای بیرون بر سرو,چلو پلو ایرانی,زرشک پلو با ران مرغ سرخ شده ," ۹۰,۰۰۰ تومان"
5,5.0,غذای بیرون بر سرو,چلو پلو ایرانی,شوید پلو با ماهی ," ۱۴۰,۰۰۰ تومان"
6,6.0,غذای بیرون بر سرو,چلو پلو ایرانی,کلم پلو شیرازی ," ۸۰,۰۰۰ تومان"
7,7.0,غذای بیرون بر سرو,چلو پلو ایرانی,استامبولی ," ۶۰,۰۰۰ تومان"
8,8.0,غذای بیرون بر سرو,چلو پلو ایرانی,عدس پلو با گوشت ," ۶۰,۰۰۰ تومان"
9,9.0,غذای بیرون بر سرو,چلو پلو ایرانی,ماکارونی ," ۶۰,۰۰۰ تومان"
10,10.0,غذای بیرون بر سرو,چلو خورشت,چلو خورشت قیمه سیب زمینی ," ۷۵,۰۰۰ تومان"
11,11.0,غذای بیرون بر سرو,چلو خورشت,چلو خورشت بادمجان ," ۷۵,۰۰۰ تومان"
12,12.0,غذای بیرون بر سرو,نوشیدنی,نوشابه بطری ," ۱۵,۰۰۰ تومان"
13,13.0,غذای بیرون بر سرو,نوشیدنی,نوشابه خانواده پپسی کولا ," ۱۵,۰۰۰ تومان"
14,14.0,غذای بیرون بر سرو,نوشیدنی,ماءالشعیر شیشه ای دلستر ," ۱۵,۰۰۰ تومان"
15,15.0,غذای بیرون بر سرو,نوشیدنی,ماءالشعیر خانواده دلستر ," ۳۶,۰۰۰ تومان"
16,16.0,غذای بیرون بر سرو,نوشیدنی,آب معدنی کوچک ," ۳۶,۰۰۰ تومان"
17,17.0,غذای بیرون بر سرو,نوشیدنی,آب معدنی بزرگ ," ۳۶,۰۰۰ تومان"
18,18.0,کافه مکعب,صبحانه,املت ," ۸۰,۰۰۰ تومان"
19,19.0,کافه مکعب,صبحانه,سوسیس تخم مرغ ," ۷۰,۰۰۰ تومان"
20,20.0,کافه مکعب,پیش غذا,سیب زمینی سرخ شده ," ۵۵,۰۰۰ تومان"
21,21.0,کافه مکعب,پیش غذا,سیب زمینی سرخ شده ویژه ," ۱۳۵,۰۰۰ تومان"
22,22.0,کافه مکعب,آبمیوه طبیعی,آب هویج ," ۲۵,۰۰۰ تومان"
23,23.0,کافه مکعب,آبمیوه طبیعی,آب طالبی ," ۳۵,۰۰۰ تومان"
24,24.0,کافه مکعب,میکس شیر,شیر موز ," ۴۰,۰۰۰ تومان"
25,25.0,کافه مکعب,میکس شیر,شیر انبه ," ۷۰,۰۰۰ تومان"
26,26.0,کافه مکعب,میکس شیر,شیر خرما ," ۴۰,۰۰۰ تومان"
27,27.0,کافه مکعب,شیک,شیک شکلات ," ۸۵,۰۰۰ تومان"
28,28.0,کافه مکعب,شیک,شیک کره بادام زمینی ," ۸۵,۰۰۰ تومان"
29,29.0,کافه مکعب,قهوه سرد,آیس موکا ," ۷۰,۰۰۰ تومان"
30,30.0,کافه مکعب,قهوه سرد,آیس امریکانو ," ۴۵,۰۰۰ تومان"
31,31.0,کافه مکعب,نوشیدنی گرم,هات چاکلت ," ۴۰,۰۰۰ تومان"
32,32.0,کافه مکعب,نوشیدنی گرم,وایت چاکلت ," ۴۰,۰۰۰ تومان"
33,33.0,کافه مکعب,قهوه,اسپرسو ۳۰ درصد عربیکا ," ۲۵,۰۰۰ تومان"
34,34.0,کافه مکعب,قهوه,امریکانو ," ۳۸,۰۰۰ تومان"
35,35.0,کافه مکعب,چای و دمنوش,چای زعفران ," ۲۵,۰۰۰ تومان"
36,36.0,کافه مکعب,چای و دمنوش,چای سبز ," ۲۵,۰۰۰ تومان"
37,37.0,کافه مکعب,کیک و دسر,وافل میوه ," ۱۱۰,۰۰۰ تومان"
38,38.0,کافه مکعب,کیک و دسر,وافل بستنی ," ۹۰,۰۰۰ تومان"
39,39.0,کافه مکعب,بستنی اسکوپی,بستنی اسکوپی وانیلی ," ۱۲,۰۰۰ تومان"
40,40.0,کافه مکعب,بستنی اسکوپی,بستنی اسکوپی شکلاتی ," ۱۲,۰۰۰ تومان"
41,41.0,فست فود نوژان,پیتزا ایتالیایی,پیتزا رست بیف ایتالیایی ," ۳۳۹,۰۰۰ تومان"
42,42.0,فست فود نوژان,پیتزا ایتالیایی,پیتزا استیک ایتالیایی ," ۳۲۸,۰۰۰ تومان"
43,43.0,فست فود نوژان,پیتزا ایتالیایی,پیتزا چیکن گریل ایتالیایی ," ۲۷۵,۰۰۰ تومان"
44,44.0,فست فود نوژان,پیتزا ایتالیایی,پیتزا چیکن پستو ایتالیایی ," ۲۸۸,۰۰۰ تومان"
45,45.0,فست فود نوژان,پیتزا ایتالیایی,پیتزا بیکن ایتالیایی ," ۲۹۵,۰۰۰ تومان"
46,46.0,فست فود نوژان,پیتزا ایتالیایی,پیتزا سالامی بیکن ایتالیایی ," ۲۸۵,۰۰۰ تومان"
47,47.0,فست فود نوژان,پیتزا ایتالیایی,پیتزا پپرونی ایتالیایی  ," ۲۶۰,۰۰۰ تومان"
48,48.0,فست فود نوژان,پیتزا ایتالیایی,پیتزا ناژون ایتالیایی ," ۲۷۵,۰۰۰ تومان"
49,49.0,فست فود نوژان,پیتزا ایتالیایی,پیتزا سبزیجات ایتالیایی ," ۲۰۵,۰۰۰ تومان"
50,50.0,فست فود نوژان,پیتزا ایتالیایی,پیتزا چهار چیز ایتالیایی ," ۱۹۰,۰۰۰ تومان"
51,51.0,فست فود نوژان,پیتزا ایتالیایی,پیتزا مارگاریتا ایتالیایی ," ۱۷۵,۰۰۰ تومان"
52,52.0,فست فود نوژان,برگر,همبرگر ," ۱۷۷,۰۰۰ تومان"
53,53.0,فست فود نوژان,برگر,بیگ برگر ," ۳۱۷,۰۰۰ تومان"
54,54.0,فست فود نوژان,برگر,چیز برگر ," ۱۸۷,۰۰۰ تومان"
55,55.0,فست فود نوژان,برگر,سیمپل برگر ," ۱۸۷,۰۰۰ تومان"
56,56.0,فست فود نوژان,برگر,جوسی برگر ," ۲۱۷,۰۰۰ تومان"
57,57.0,فست فود نوژان,برگر,قارچ برگر ," ۲۱۷,۰۰۰ تومان"
58,58.0,فست فود نوژان,برگر,تیز برگر ," ۱۹۷,۰۰۰ تومان"
59,59.0,فست فود نوژان,برگر,اسموکی برگر ," ۱۹۱,۰۰۰ تومان"
60,60.0,فست فود نوژان,برگر,چیکن برگر ," ۱۳۹,۰۰۰ تومان"
61,61.0,فست فود نوژان,برگر,نوژان برگر ," ۲۳۵,۰۰۰ تومان"
62,62.0,فست فود نوژان,برگر,هات داگ برگر ," ۲۳۵,۰۰۰ تومان"
63,63.0,فست فود نوژان,برگر,میکس برگر ," ۲۵۹,۰۰۰ تومان"
64,64.0,فست فود نوژان,برگر,رویال برگر ," ۳۷۷,۰۰۰ تومان"
65,65.0,فست فود نوژان,ساندویچ,ساندویچ هات داگ ," ۱۲۵,۰۰۰ تومان"
66,66.0,فست فود نوژان,ساندویچ,ساندویچ چیکن سوخاری ," ۱۶۰,۰۰۰ تومان"
67,67.0,فست فود نوژان,پاستا,پاستا آلفردو ," ۱۹۵,۰۰۰ تومان"
68,68.0,فست فود نوژان,سالاد و پیش غذا,سالاد سزار با مرغ گریل ," ۱۸۵,۰۰۰ تومان"
69,69.0,فست فود نوژان,سالاد و پیش غذا,نان سیر ," ۱۲۵,۰۰۰ تومان"
70,70.0,فست فود نوژان,سالاد و پیش غذا,قارچ سوخاری ," ۸۹,۰۰۰ تومان"
71,71.0,فست فود نوژان,سالاد و پیش غذا,سیب زمینی سرخ شده ساده ," ۷۵,۰۰۰ تومان"
72,72.0,فست فود نوژان,سالاد و پیش غذا,سیب زمینی سرخ شده تنوری ," ۷۱,۰۰۰ تومان"
73,73.0,فست فود نوژان,سالاد و پیش غذا,سیب زمینی سرخ شده با سس پنیر چدار ," ۱۱۰,۰۰۰ تومان"
74,74.0,فست فود نوژان,سالاد و پیش غذا,سیب زمینی سرخ شده با سس قارچ ," ۱۱۰,۰۰۰ تومان"
75,75.0,فست فود نوژان,نوشیدنی,دوغ قوطی خوشگوار ," ۲۱,۰۰۰ تومان"
76,76.0,فست فود نوژان,نوشیدنی,نوشیدنی انرژی زا قوطی وان دی ," ۳۶,۰۰۰ تومان"
77,77.0,فست فود نوژان,نوشیدنی,نوشابه قوطی ," ۲۴,۰۰۰ تومان"
78,78.0,فست فود نوژان,نوشیدنی,ماءالشعیر قوطی هی دی ," ۲۱,۰۰۰ تومان"
79,79.0,فست فود نوژان,نوشیدنی,ماءالشعیر قوطی هی دی ," ۲۴,۰۰۰ تومان"
80,80.0,فست فود نوژان,نوشیدنی,آب معدنی کوچک ," ۲۱,۰۰۰ تومان"
81,81.0,فست فود زرین مشرق زمین,اضافات,سس کچاپ , ۸۰۰ تومان
82,82.0,فست فود زرین مشرق زمین,اضافات,سس مایونز  ," ۱,۵۰۰ تومان"
83,83.0,فست فود زرین مشرق زمین,اضافات,سس فرانسه ," ۱,۵۰۰ تومان"
84,84.0,فست فود زرین مشرق زمین,اضافات,سس چیلی ," ۴,۰۰۰ تومان"
85,85.0,فست فود زرین مشرق زمین,اضافات,سس دیپ چدار ," ۴۰,۰۰۰ تومان"
86,86.0,فست فود زرین مشرق زمین,اضافات,سس سیر ," ۴,۰۰۰ تومان"
87,87.0,فست فود زرین مشرق زمین,اضافات,سس سزار ," ۱۰,۰۰۰ تومان"
88,88.0,فست فود زرین مشرق زمین,اضافات,نان بروچن ," ۴,۵۰۰ تومان"
89,89.0,فست فود زرین مشرق زمین,اضافات,سس باربیکیو ," ۴,۰۰۰ تومان"
90,90.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا سوخاری کراست ," ۳۶۹,۰۰۰ تومان"
91,91.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا نوستالژی ایتالیایی ," ۱۶۵,۰۰۰ تومان"
92,92.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا سراچا ایتالیایی ," ۲۰۴,۰۰۰ تومان"
93,93.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,کیک پیتزا ," ۲۹۲,۰۰۰ تومان"
94,94.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا سراچا ایتالیایی ," ۲۴۸,۰۰۰ تومان"
95,95.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا میت لاورز ایتالیایی ," ۲۷۵,۰۰۰ تومان"
96,96.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا زرین (ایتالیایی) ," ۲۴۸,۰۰۰ تومان"
97,97.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا جولین (ایتالیایی) ," ۲۹۲,۰۰۰ تومان"
98,98.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا بولزانو (ایتالیایی) ," ۲۹۶,۰۰۰ تومان"
99,99.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا چیکن (ایتالیایی) ," ۳۵۱,۰۰۰ تومان"
100,100.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا دیاولا (ایتالیایی) ," ۲۵۹,۰۰۰ تومان"
101,101.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا پپرونی (ایتالیایی) ," ۳۲۹,۰۰۰ تومان"
102,102.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا چانو (ایتالیایی) ," ۲۷۰,۰۰۰ تومان"
103,103.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا وجیترینا (ایتالیایی) ," ۳۳۶,۰۰۰ تومان"
104,104.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا قارچ (ایتالیایی) ," ۲۷۰,۰۰۰ تومان"
105,105.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا استاف کراست ," ۳۲۹,۰۰۰ تومان"
106,106.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا چهارفصل ," ۲۰۹,۰۰۰ تومان"
107,107.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا ساسج کراست ," ۲۴۲,۰۰۰ تومان"
108,108.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا هات داگ زرین ," ۲۶۵,۰۰۰ تومان"
109,109.0,فست فود زرین مشرق زمین,پیتزا ایتالیایی,پیتزا چیتزا ," ۳۴۰,۰۰۰ تومان"
110,110.0,فست فود زرین مشرق زمین,پیتزا بزرگ,پیتزا پلاس پپرونی ایتالیایی ," ۵۳۴,۰۰۰ تومان"
111,111.0,فست فود زرین مشرق زمین,پیتزا بزرگ,پیتزا پلاس چانو ایتالیایی ," ۶۵۵,۰۰۰ تومان"
112,112.0,فست فود زرین مشرق زمین,پیتزا بزرگ,پیتزا پلاس گوشت و مرغ ایتالیایی ," ۶۸۲,۰۰۰ تومان"
113,113.0,فست فود زرین مشرق زمین,پیتزا بزرگ,پیتزا پلاس زرین ," ۷۱۵,۰۰۰ تومان"
114,114.0,فست فود زرین مشرق زمین,پیتزا بزرگ,پیتزا پلاس جولین (چهار نفره) ," ۶۸۲,۰۰۰ تومان"
115,115.0,فست فود زرین مشرق زمین,پیتزا بزرگ,پیتزا پلاس چیکن (چهار نفره) ," ۶۲۲,۰۰۰ تومان"
116,116.0,فست فود زرین مشرق زمین,پیتزا بزرگ,پیتزا پلاس بولزانو (چهار نفره) ," ۶۶۰,۰۰۰ تومان"
117,117.0,فست فود زرین مشرق زمین,برگر,برگر سوخاری ," ۲۰۷,۰۰۰ تومان"
118,118.0,فست فود زرین مشرق زمین,برگر,ماشروم برگر ," ۱۷۵,۰۰۰ تومان"
119,119.0,فست فود زرین مشرق زمین,برگر,مگا ماشرو برگر ," ۲۷۷,۰۰۰ تومان"
120,120.0,فست فود زرین مشرق زمین,برگر,اسپشیال برگر ," ۲۳۶,۰۰۰ تومان"
121,121.0,فست فود زرین مشرق زمین,برگر,پپرونی برگر ," ۱۸۶,۰۰۰ تومان"
122,122.0,فست فود زرین مشرق زمین,برگر,هالو برگر ," ۱۷۴,۰۰۰ تومان"
123,123.0,فست فود زرین مشرق زمین,برگر,برگر ویژه  زرین ," ۲۴۸,۰۰۰ تومان"
124,124.0,فست فود زرین مشرق زمین,برگر,رویال برگر ," ۱۹۸,۰۰۰ تومان"
125,125.0,فست فود زرین مشرق زمین,برگر,برگر سوپر زرین ," ۲۳۳,۰۰۰ تومان"
126,126.0,فست فود زرین مشرق زمین,برگر,چیز برگر ," ۱۶۳,۰۰۰ تومان"
127,127.0,فست فود زرین مشرق زمین,برگر,مگا چیز برگر ," ۲۵۷,۰۰۰ تومان"
128,128.0,فست فود زرین مشرق زمین,برگر,مگا چیکن سوخاری ," ۲۲۰,۰۰۰ تومان"
