,name,score,review_num,label,address,link,page_info,rating,leat_shap,comment_number,comment_scores
0,کافه مکعب,جدید,(۲ امتیاز),آبمیوه بستنی، میکس شیر,سه راه ابوذر، روبروی امیرکبیر ۳۳، کافه مکعب,/caffe/menu/%DA%A9%D8%A7%D9%81%D9%87_%D9%85%DA%A9%D8%B9%D8%A8-r-4447q5,[],"[<div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL dmXPBq"" type=""5"" value=""100""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL kcZMsp"" type=""4"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL huzlKW"" type=""3"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL fzIYDs"" type=""2"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL jfufNQ"" type=""1"" value=""0""></div>]"," ۵۰,۰۰۰ تومان",,[]
1,غذای بیرون بر سرو,۳.۸,(۴۵ امتیاز),نوشیدنی شرکتی، نوشیدنی، چلو پلو ایرانی,میدان آزادی، آزادی دوم، طبقه زیرین سوپرمارکت، غذای بیرون بر سرو,/restaurant/menu/%D8%BA%D8%B0%D8%A7%DB%8C_%D8%A8%DB%8C%D8%B1%D9%88%D9%86_%D8%A8%D8%B1_%D8%B3%D8%B1%D9%88-r-o99o7v,[],"[<div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL jnxjVe"" type=""5"" value=""58""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL hZbDt"" type=""4"" value=""11""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL eLhRmj"" type=""3"" value=""18""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL fzIYDs"" type=""2"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL hSdQrG"" type=""1"" value=""13""></div>]"," ۵۰,۰۰۰ تومان",۳,"['۵', '۵', '۲']"
2,فست فود نوژان,۴.۲,(۱۶۲ امتیاز),نوشیدنی شرکتی، نوشیدنی، پیتزا ایتالیایی ,خیابان شهید بهشتی، گلستان امین، فست فود نوژان,/restaurant/menu/%D9%81%D8%B3%D8%AA_%D9%81%D9%88%D8%AF_%D9%86%D9%88%DA%98%D8%A7%D9%86-r-0gqyoq,[],"[<div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL zqnjL"" type=""5"" value=""62""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL oQOa"" type=""4"" value=""16""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL bngKkr"" type=""3"" value=""9""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL fzIYDs"" type=""2"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL hSdQrG"" type=""1"" value=""13""></div>]"," ۸۵,۰۰۰ تومان",۱۷,"['۵', '۵', '۵', '۳', '۲', '۵', '۳']"
3,فست فود زرین مشرق زمین,۴.۱,(۷۱۴ امتیاز),فست فود، سوخاری، نوشیدنی,خیابان امام خمینی، نبش کوچه ۹، فست فود زرین مشرق زمین,/restaurant/menu/%D9%81%D8%B3%D8%AA_%D9%81%D9%88%D8%AF_%D8%B2%D8%B1%DB%8C%D9%86_%D9%85%D8%B4%D8%B1%D9%82_%D8%B2%D9%85%DB%8C%D9%86-r-0rx6do,[],"[<div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL cpzTZv"" type=""5"" value=""48""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL kwXBdH"" type=""4"" value=""28""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL ibQnpk"" type=""3"" value=""17""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL hWkdyL"" type=""2"" value=""3""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL fXPHmI"" type=""1"" value=""4""></div>]"," ۴۵,۰۰۰ تومان",۵۸,"['۲', '۴', '۵', '۳', '۴', '۵', '۵', '۳', '۵']"
4,کباب بره صوفیا,جدید,,ایرانی، تهیه غذا و کترینگ، ساندویچ ایرانی,بلوار طالقانی، جنب کوچه ۲۰، کباب بره صوفیا,/restaurant/menu/%DA%A9%D8%A8%D8%A7%D8%A8_%D8%A8%D8%B1%D9%87_%D8%B5%D9%88%D9%81%DB%8C%D8%A7-r-947m9d,[],"[<div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL gQeowL"" type=""5"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL kcZMsp"" type=""4"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL huzlKW"" type=""3"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL fzIYDs"" type=""2"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL jfufNQ"" type=""1"" value=""0""></div>]"," ۱۰۰,۰۰۰ تومان",,[]
5,فست فود قارچ ویچ,جدید,(۵ امتیاز),نوشیدنی شرکتی، نوشیدنی، سوخاری,بلوار طالقانی، جنب فروشگاه رفاه، طبقه همکف، فست فود قارچ ویچ,/restaurant/menu/%D9%81%D8%B3%D8%AA_%D9%81%D9%88%D8%AF_%D9%82%D8%A7%D8%B1%DA%86_%D9%88%DB%8C%DA%86-r-qy5rox,[],"[<div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL kZhlAx"" type=""5"" value=""20""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL kcZMsp"" type=""4"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL huzlKW"" type=""3"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL fzIYDs"" type=""2"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL dBasbk"" type=""1"" value=""80""></div>]"," ۱۲۵,۰۰۰ تومان",,[]
6,خانه برگر,جدید,,فست فود، برگر، نوشیدنی,قطب آباد، خیابان بنفشه، کوچه بنفشه ۱۷، پلاک ۱۳، طبقه همکف، خانه برگر,/restaurant/menu/%D8%AE%D8%A7%D9%86%D9%87_%D8%A8%D8%B1%DA%AF%D8%B1-r-mezdny,[],"[<div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL gQeowL"" type=""5"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL kcZMsp"" type=""4"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL huzlKW"" type=""3"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL fzIYDs"" type=""2"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL jfufNQ"" type=""1"" value=""0""></div>]"," ۱۰۰,۰۰۰ تومان",,[]
7,مرغ شکم پرهمت,جدید,,ایرانی، بریان,بلوار شهید محمدی، پلاک ۱۳۷، مرغ شکم پرهمت,/restaurant/menu/%D9%85%D8%B1%D8%BA_%D8%B4%DA%A9%D9%85_%D9%BE%D8%B1%D9%87%D9%85%D8%AA-r-94wzv6,[],"[<div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL gQeowL"" type=""5"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL kcZMsp"" type=""4"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL huzlKW"" type=""3"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL fzIYDs"" type=""2"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL jfufNQ"" type=""1"" value=""0""></div>]"," ۶۰,۰۰۰ تومان",,[]
8,رستوران ۹۰,جدید,,نوشیدنی شرکتی، نوشیدنی، چلو پلو ایرانی,نبش چهارراه عدالت، رستوران ۹۰,/restaurant/menu/%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86_90-r-o9zdjq,[],"[<div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL gQeowL"" type=""5"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL kcZMsp"" type=""4"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL huzlKW"" type=""3"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL fzIYDs"" type=""2"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL jfufNQ"" type=""1"" value=""0""></div>]"," ۱۰۰,۰۰۰ تومان",,[]
9,جعبه سوخاری,۴.۰,(۶۰ امتیاز),فست فود، سوخاری، نوشیدنی,بلوار طالقانی، پلاک ۸۴، جعبه سوخاری,/restaurant/menu/%D8%AC%D8%B9%D8%A8%D9%87_%D8%B3%D9%88%D8%AE%D8%A7%D8%B1%DB%8C-r-946m7n,[],"[<div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL cpzTZv"" type=""5"" value=""48""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL gxFxly"" type=""4"" value=""30""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL hBzlWX"" type=""3"" value=""10""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL fzIYDs"" type=""2"" value=""0""></div>, <div class=""sc-dlfnbm Scores__RateBar-sc-q0gltu-3 fBrhOL jyTKIn"" type=""1"" value=""12""></div>]"," ۶۰,۰۰۰ تومان",۴,[]
